id,Page,Removed,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value,Name,locality,city,golden,rent,status,tag_as,siteVisitCount
296,/property/296,,10,7,0:04:08,2,50.00%,20.00%,$0.00 ,"102,Sahakarnagar",Sahakar Nagar,bengaluru,0,25000,available,marketplace,0
297,/property/297,,6,6,0:00:18,1,100.00%,16.67%,$0.00 ,"302,Sahakarnagar",Sahakar Nagar,bengaluru,0,25000,available,marketplace,0
298,/property/298,,9,9,0:00:33,1,100.00%,33.33%,$0.00 ,"301,Sahakarnagar",Sahakar Nagar,bengaluru,0,25000,available,marketplace,0
299,/property/299,,6,6,0:02:44,1,100.00%,33.33%,$0.00 ,"201,Sahakarnagar",Sahakar Nagar,bengaluru,0,25000,available,marketplace,0
301,/property/301,,10,9,0:00:39,1,100.00%,20.00%,$0.00 ,Orchid Woods,Brookefield,bengaluru,0,50000,available,marketplace,0
302,/property/302,,17,17,0:03:50,3,66.67%,52.94%,$0.00 ,Orchid Woods,Brookefield,bengaluru,0,50000,available,marketplace,0
304,/property/304,,7,7,0:00:21,1,100.00%,42.86%,$0.00 ,Aratt Firenza,Electronic City,bengaluru,0,25000,available,marketplace,0
305,/property/305,,3,3,0:00:00,1,100.00%,100.00%,$0.00 ,Sobha Suncrest,Kanakapura,bengaluru,0,35000,available,marketplace,0
306,/property/306,,4,4,0:00:24,0,0.00%,25.00%,$0.00 ,Shyam Stay Lakeview,Doddakammanahalli,bengaluru,0,408000,occupied,marketplace,0
309,/property/309,,20,19,0:00:35,1,100.00%,5.00%,$0.00 ,Venkatesh Appartment,Baner,pune,0,39000,available,marketplace,0
310,/property/310,,13,13,0:00:42,3,66.67%,38.46%,$0.00 ,Majestique Aqua 2BHK,Fursungi,pune,0,18000,available,marketplace,0
311,/property/311,,8,8,0:01:00,1,100.00%,50.00%,$0.00 ,Unnati GH,Income Tax Layout,bengaluru,0,53000,available,marketplace,0
8,/property/8,,65,64,0:00:57,0,0.00%,18.46%,$0.00 ,Purva Sunshine,HSR Layout,bengaluru,0,26000,occupied,managed,0
